"","species","trophic","microhabitat","volume","mass","volume_log","family","order","total_ab","total_ab_log","total_ab_SS1","total_ab_SS2","total_ab_SS3","total_ab_SS1_log","total_ab_SS2_log","total_ab_SS3_log"
"1","B_Callibaetis","Non_Pred","benthic",12.5625,0.95,2.60730863130068,"Baetidae","Ephemeroptera",14,2.63905732961526,3,5,6,1.38629436111989,1.79175946922805,1.94591014905531
"2","C_Caenis","Non_Pred","benthic",17.52899255,0.26,2.91933667022777,"Caenidae","Ephemeroptera",155,5.04342511691925,19,105,31,2.99573227355399,4.66343909411207,3.46573590279973
"3","Ceratopogonidae","Non_Pred","benthic",0.653061224,0.24,0.502628856265516,"Ceratopogonidae","Diptera",6,1.79175946922805,2,3,1,1.09861228866811,1.38629436111989,0.693147180559945
"4","C_Chaoborus","Non_Pred","nektonic",4.29154519,0.31,1.66611029962668,"Chaoboridae","Diptera",68,4.21950770517611,0,4,64,0,1.6094379124341,4.17438726989564
"5","C_Apedilum","Non_Pred","benthic",4.444444444,0.72,1.69459572069277,"Chironomidae","Diptera",4,1.38629436111989,0,4,0,0,1.6094379124341,0
"6","C_Asheum","Non_Pred","benthic",4.444444444,0.72,1.69459572069277,"Chironomidae","Diptera",399,5.98896141688986,3,36,360,1.38629436111989,3.61091791264422,5.88887795833288
"7","C_Beardius","Non_Pred","benthic",4.444444444,0.72,1.69459572069277,"Chironomidae","Diptera",3,1.09861228866811,0,1,2,0,0.693147180559945,1.09861228866811
"8","C_Caladomyia","Non_Pred","benthic",4.444444444,0.72,1.69459572069277,"Chironomidae","Diptera",38,3.63758615972639,0,38,0,0,3.66356164612965,0
"9","C_Chironomus","Non_Pred","benthic",4.444444444,0.72,1.69459572069277,"Chironomidae","Diptera",534,6.2803958389602,24,340,170,3.2188758248682,5.83188247728352,5.14166355650266
"10","C_Goeldchironomus","Non_Pred","benthic",4.444444444,0.72,1.69459572069277,"Chironomidae","Diptera",1455,7.28276117960559,299,619,537,5.7037824746562,6.42971947803914,6.28785856016178
"11","C_Parachironomus","Non_Pred","benthic",4.444444444,0.72,1.69459572069277,"Chironomidae","Diptera",3,1.09861228866811,0,2,1,0,1.09861228866811,0.693147180559945
"12","C_Polypedilum","Non_Pred","benthic",4.444444444,0.72,1.69459572069277,"Chironomidae","Diptera",1436,7.26961674960817,20,875,541,3.04452243772342,6.77536609093639,6.29526600143965
"13","C_Tanytarsini","Non_Pred","benthic",4.444444444,0.72,1.69459572069277,"Chironomidae","Diptera",7214,8.88377886146348,10,925,6279,2.39789527279837,6.83087423464618,8.74512525946224
"14","C_T_Ablabesmyia","Non_Pred","benthic",3.275672174,0.33,1.45294132371301,"Chironomidae","Diptera",363,5.89440283426485,1,64,298,0.693147180559945,4.17438726989564,5.70044357339069
"15","C_T_Labrundinia","Non_Pred","benthic",3.275672174,0.33,1.45294132371301,"Chironomidae","Diptera",9,2.19722457733622,0,2,7,0,1.09861228866811,2.07944154167984
"16","C_T_Larsia","Non_Pred","benthic",3.275672174,0.33,1.45294132371301,"Chironomidae","Diptera",100,4.60517018598809,0,27,73,0,3.3322045101752,4.30406509320417
"17","C_Oxyagrion","Pr","benthic",8.735025,0.68,2.27573020687428,"Coenagrionidae","Odonata",5,1.6094379124341,0,1,4,0,0.693147180559945,1.6094379124341
