,ID,survey,fish,isolation,depth,conductivity,ph,do,turbidity,clorophylla_a,phycocyanin,canopy
1,A1,1,present,30,37.625,15.3,7.45,4.55,15,12.93333333,1.238,1.25
2,A2,1,present,30,32,17.3,7.84,9.05,29.8,27.63,1.837666667,0
3,A3,1,absent,30,29.625,17.7,7.8,7.2,44,18.68,2.679,0.25
4,A4,1,present,30,29.625,17.1,7.84,10.71,49.4,77.19666667,5.129333333,1
5,A5,1,absent,30,30.125,12.1,8.07,8.14,27.8,22.5,2.137666667,1.25
6,A6,1,absent,30,39.375,66.6,8.05,6.53,5.46,6.566,0.924,1.25
7,A7,1,present,30,32.875,69.7,8.88,13.08,17.2,47.06666667,2.263333333,0.75
8,A8,1,absent,30,36.25,55.1,7.2,8.73,8.43,10.45566667,1.167,1.5
9,B1,1,absent,120,41.625,13.5,7.47,8.65,58.9,21.83666667,3.650666667,1
10,B2,1,absent,120,40.625,11.7,7.83,9.2,82.7,95.97666667,6.948,0.5
11,B3,1,present,120,39.375,17.7,7.25,6.82,39.9,12.39666667,2.397666667,0
12,B4,1,present,120,43,17.9,7.1,6.95,19.6,7.491,1.378,0.25
13,B5,1,absent,120,42.375,12,7.09,7.14,43.2,5.927333333,2.662666667,0.75
14,B6,1,present,120,39.375,52,6.96,7.45,44.8,21.18,3.107333333,1.25
15,B7,1,absent,120,38.125,62.7,7.12,7.51,15.3,9.605,1.294,1.25
16,B8,1,present,120,39.375,60.7,7.1,7.1,13,6.0295,1.148666667,4.25
17,C1,1,present,480,34.625,23.7,7.08,7.45,88.3,34.87333333,6.653666667,0
18,C2,1,absent,480,36.15,27.5,6.88,7.74,89.8,24.98333333,6.294333333,0
19,C3,1,absent,480,34.25,31.8,6.85,7.16,26.3,10.477,1.852333333,1
20,C4,1,present,480,39.625,51.9,6.64,7.62,69.3,33.28,4.575,0
21,C5,1,absent,480,42.375,63,6.76,8.6,14.5,15.05333333,1.36,0.25
22,C6,1,absent,480,38.375,34.5,7.16,7.64,42.8,24.41333333,2.855,1.25
23,C7,1,present,480,43,45.9,6.64,6.8,23.5,10.91733333,1.779333333,0
24,C8,1,present,480,45.75,54.9,6.85,8.23,46.6,18.76666667,3.084333333,0
25,A1,2,present,30,38.375,11.7,7.8,8.04,12.8,8.855666667,1.152333333,1.25
26,A2,2,present,30,31.125,30.4,6.89,6.4,18.6,5.716333333,1.302,0
27,A3,2,absent,30,29.875,15.2,7.55,7.92,5.52,4.63,0.749,0.25
28,A4,2,present,30,30.625,18.9,6.55,6.88,48.9,8.693,2.809,1
29,A5,2,absent,30,30.5,12,7.93,8.77,18.3,40.47666667,1.960666667,1.25
30,A6,2,absent,30,38.875,41.1,7.4,8.63,4.88,18.24333333,0.880333333,1.25
31,A7,2,present,30,33.125,388.3,7.89,8.65,13.9,22.00333333,1.659333333,0.75
32,A8,2,absent,30,37.125,31.8,7.91,8.64,11.2,23.67,1.358,1.5
33,B1,2,absent,120,33.5,13.9,8.19,8.7,30.2,46.57666667,2.490666667,1
34,B2,2,absent,120,40.375,11.3,8.16,8.69,16.9,55.95333333,2.166,0.5
35,B3,2,present,120,39.875,13.5,8.2,8.9,56.9,106.3466667,6.121,0
36,B4,2,present,120,43.5,14.5,8.3,9.31,39.7,99.75666667,4.306,0.25
37,B5,2,absent,120,40.625,11,8.47,8.45,38.8,42.05,3.025333333,0.75
38,B6,2,present,120,37,36.3,8.4,11.46,76.4,114.8333333,7.897333333,1.25
39,B7,2,absent,120,37.75,37.8,8.08,9.09,9.06,22.56666667,1.132666667,1.25
40,B8,2,present,120,40.25,NA,8.24,NA,24.7,56.32666667,2.652666667,4.25
